0,0,0,0,120000,1200.000000,-0.080000,-0.080000,-0.080000
z,RHO,U,V,W,UU,VV,WW,UV,UW,VW,UUU,VVV,WWW,UUW,VVW,T,TT,UT,VT,WT,TTT
4.000000,1.000004,0.488176,-0.025140,0.000073,0.470861,0.062101,0.006202,-0.004484,-0.002298,0.000219,0.478602,-0.005690,-0.000140,-0.003060,0.000108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1.000003,0.580405,-0.016883,-0.000030,0.591435,0.047159,0.024167,-0.005522,-0.009185,0.000540,0.653772,-0.003683,-0.000855,-0.013103,0.000251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1.000002,0.657822,-0.002556,0.000083,0.693354,0.043927,0.034313,-0.001688,-0.014848,0.000693,0.818592,-0.001600,-0.000887,-0.022289,0.000194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,1.000002,0.770932,0.008192,-0.000049,0.838923,0.040519,0.037629,0.004042,-0.021618,0.000401,1.043290,0.000602,0.000933,-0.036185,0.000369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,0.999999,0.901723,0.012512,0.000108,1.024685,0.042288,0.033613,0.010497,-0.023883,0.000312,1.315812,0.001408,0.002810,-0.046932,0.000203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,0.999999,1.183001,0.017197,-0.000070,1.570724,0.052385,0.033835,0.022063,-0.026360,-0.000013,2.269827,0.002929,0.002600,-0.062305,0.000467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,0.999999,1.314936,0.016078,0.000071,1.872796,0.050891,0.033370,0.023516,-0.023620,-0.000006,2.847857,0.002419,0.002005,-0.060665,0.000917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,0.999999,1.422557,0.015133,-0.000032,2.153200,0.045673,0.032613,0.024381,-0.022760,-0.000008,3.439055,0.001741,0.001834,-0.063260,0.000915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,0.999999,1.497758,0.014466,0.000083,2.359725,0.041724,0.031482,0.023963,-0.020445,0.000037,3.890736,0.001631,0.001744,-0.060366,0.000910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.000000,1.000000,1.564193,0.013296,-0.000033,2.553678,0.039533,0.029939,0.021996,-0.018876,0.000056,4.337797,0.001278,0.001608,-0.058301,0.000710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.000000,1.000000,1.627829,0.012294,0.000105,2.748573,0.037742,0.027698,0.019527,-0.016372,0.000092,4.804017,0.001448,0.001431,-0.053176,0.000488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.000000,1.000000,1.685753,0.011180,-0.000047,2.936750,0.037467,0.025273,0.017235,-0.015048,0.000024,5.279652,0.001610,0.001150,-0.050560,0.000183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.000000,1.000000,1.744426,0.007741,0.000127,3.133768,0.038400,0.022098,0.012002,-0.012386,-0.000024,5.791201,0.001448,0.000816,-0.043661,-0.000120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,1.000001,1.827824,0.001112,-0.000042,3.428147,0.039388,0.017836,0.000959,-0.010235,-0.000117,6.593349,0.000710,0.000531,-0.037899,-0.000444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.000000,1.000001,1.788804,-0.005367,0.000149,3.317384,0.040885,0.008865,-0.009859,-0.010693,-0.000095,6.365469,-0.000603,0.000153,-0.038820,-0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.000000,1.000002,2.850608,-0.004222,-0.000043,8.175155,0.015501,0.001513,-0.011701,-0.003059,-0.000067,23.584693,-0.000240,0.000003,-0.016946,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36.000000,1.000002,3.999593,-0.001103,0.000046,15.996797,0.000154,0.000107,-0.004412,0.000170,0.000000,63.981113,-0.000000,0.000000,0.000627,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.000000,1.000002,4.000070,-0.001098,0.000049,16.000565,0.000109,0.000094,-0.004393,0.000198,0.000001,64.003429,-0.000000,0.000000,0.000807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.000000,1.000002,3.999986,-0.001099,0.000050,15.999891,0.000114,0.000089,-0.004397,0.000200,0.000001,63.999353,-0.000000,0.000000,0.000795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
