0,0,0,0,60000,600,-0.08,-0.08,-0.08,,,,,,,,,,,,,
z,RHO,U,V,W,UU,VV,WW,UV,UW,VW,UUU,VVV,WWW,UUW,VVW,T,TT,UT,VT,WT,TTT
4,1.000005,0.860402,0.006079,0.000275,1.681141,0.153365,0.020235,0.001876,-0.003038,-0.00013,3.674772,0.002517,-0.000954,-0.002146,0.000113,0,0,0,0,0,0
6,1.000001,1.060263,-0.000457,0.000055,2.137995,0.116669,0.07169,-0.002993,-0.018498,0.000005,4.993793,-0.001129,-0.005013,-0.032309,-0.000678,0,0,0,0,0,0
8,0.999999,1.243951,-0.003673,0.000104,2.633456,0.109457,0.10067,-0.003774,-0.035025,-0.000187,6.648635,-0.002628,-0.004483,-0.071074,-0.000506,0,0,0,0,0,0
10,0.999999,1.48027,-0.00645,-0.00021,3.271392,0.101052,0.108537,-0.006511,-0.053588,-0.000074,8.689981,-0.003027,0.006999,-0.143415,0.002161,0,0,0,0,0,0
12,0.99999,1.758421,-0.006457,0.000326,4.062367,0.102076,0.096689,-0.010034,-0.063632,0.000152,10.995872,-0.002885,0.021197,-0.223144,0.001641,0,0,0,0,0,0
14,0.99999,2.298212,-0.004248,-0.00022,6.173081,0.117527,0.094728,-0.010589,-0.070935,0.000331,18.596742,-0.001155,0.020939,-0.308074,0.002549,0,0,0,0,0,0
16,0.999991,2.51431,-0.003117,0.000218,7.083924,0.110075,0.088489,-0.007928,-0.058985,0.000097,21.854052,0.000036,0.015562,-0.26818,0.004278,0,0,0,0,0,0
18,0.999991,2.698807,-0.004813,0.000117,7.987513,0.094341,0.081845,-0.009761,-0.054505,0.00005,25.480638,-0.000226,0.012274,-0.266002,0.004264,0,0,0,0,0,0
20,0.999992,2.816417,-0.004338,0.00002,8.588076,0.080453,0.074467,-0.008485,-0.047627,0.000035,27.953808,-0.000222,0.011043,-0.24325,0.004246,0,0,0,0,0,0
22,0.999992,2.913244,-0.002772,0.000112,9.112756,0.069696,0.066445,-0.006427,-0.041023,-0.000028,30.229912,0.000203,0.009813,-0.217507,0.003639,0,0,0,0,0,0
24,0.999993,2.988429,-0.001156,-0.000014,9.529578,0.060609,0.057763,-0.004126,-0.034882,-0.000032,32.071028,0.000903,0.008501,-0.190723,0.002984,0,0,0,0,0,0
26,0.999993,3.046967,-0.000996,0.000103,9.857308,0.055361,0.049083,-0.003957,-0.028542,-0.000154,33.52345,0.000707,0.007088,-0.161151,0.002063,0,0,0,0,0,0
28,0.999994,3.092943,-0.002068,-0.000121,10.1089,0.052151,0.039357,-0.005415,-0.023035,-0.00018,34.602949,-0.000151,0.005307,-0.131573,0.00105,0,0,0,0,0,0
30,0.999995,3.134434,-0.00191,0.000199,10.332554,0.052765,0.028456,-0.004025,-0.016081,-0.000144,35.544886,-0.001157,0.003362,-0.096836,0.000012,0,0,0,0,0,0
32,0.999996,3.168891,-0.001994,-0.000162,10.541552,0.05219,0.014368,-0.003587,-0.011873,-0.000151,36.501587,-0.001925,0.00073,-0.068702,-0.000118,0,0,0,0,0,0
34,0.999996,3.592382,-0.001365,0.000097,13.045292,0.019367,0.003227,-0.004132,-0.002096,-0.000023,47.858293,-0.000329,0.000021,-0.015928,0.000023,0,0,0,0,0,0
36,0.999997,3.999719,-0.000195,0.000006,15.997985,0.000271,0.000493,-0.000781,0.000003,0.000006,63.989309,-0.000001,0.000002,-0.000083,0,0,0,0,0,0,0
38,0.999997,4.000044,-0.000194,0.000035,16.000373,0.000114,0.00041,-0.000777,0.000141,0.000006,64.002385,0,0.000002,0.000566,0,0,0,0,0,0,0
40,0.999997,3.999987,-0.000194,0.00006,15.999898,0.000117,0.000389,-0.000777,0.000238,0.000006,63.999409,-0.000001,0.000002,0.000952,0,0,0,0,0,0,0
