0,0,0,0,60000,600.000000,-0.080000,-0.080000,-0.080000
z,RHO,U,V,W,UU,VV,WW,UV,UW,VW,UUU,VVV,WWW,UUW,VVW,T,TT,UT,VT,WT,TTT
4.000000,1.002708,0.788642,-0.139285,0.001390,37.487620,77.091468,0.577843,-0.325970,-0.033092,0.034712,42.046940,-57.594673,-0.392264,-13.444388,-13.918521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,1.002516,0.768493,-0.095493,0.004942,29.907338,70.009728,3.071943,-0.270771,-0.072738,0.050874,30.723295,-39.498809,-3.794782,-24.912101,-26.868833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,1.002403,0.789529,-0.081268,0.008616,28.288258,67.558995,4.610854,-0.212121,-0.076368,0.061922,26.116403,-36.804430,-5.573182,-29.916026,-32.498340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,1.002346,0.857481,-0.077683,0.012728,27.349392,66.113354,5.482838,-0.119930,-0.096090,0.072888,28.284617,-36.931069,-6.503633,-32.336226,-36.404858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,1.002305,0.942883,-0.072658,0.016225,26.424504,64.607787,6.131399,-0.045311,-0.133973,0.074633,33.001502,-33.292937,-7.162956,-32.364355,-38.120736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,1.002277,1.028054,-0.068833,0.019790,25.591440,62.982212,6.629843,-0.008778,-0.175698,0.077244,37.856351,-27.563367,-7.429413,-30.693343,-37.492111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,1.002259,1.120689,-0.067109,0.022831,24.839668,61.149835,7.045317,-0.004396,-0.221511,0.085644,42.941355,-21.513372,-7.573282,-28.218059,-34.888737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,1.002245,1.212508,-0.066982,0.025974,24.006642,59.183115,7.434132,-0.032385,-0.275472,0.092806,47.891550,-17.351797,-8.128462,-24.833434,-31.448751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,1.002229,1.311698,-0.070805,0.028653,23.157874,57.167555,7.866760,-0.088613,-0.334431,0.102719,53.241532,-14.895089,-8.811198,-21.279625,-26.780194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.000000,1.002208,1.406261,-0.072839,0.031484,22.283436,54.966766,8.364783,-0.144470,-0.397878,0.109107,58.302759,-14.641105,-10.262263,-17.612364,-21.192699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.000000,1.002177,1.510203,-0.077245,0.033866,21.356940,52.927234,8.965968,-0.189344,-0.460586,0.128037,63.487730,-15.723410,-12.222105,-14.462200,-15.961478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.000000,1.002134,1.616612,-0.079876,0.036168,20.326430,50.906701,9.707506,-0.221723,-0.527755,0.146382,68.106771,-17.406978,-14.923001,-11.599314,-12.184522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.000000,1.002070,1.742600,-0.090586,0.037728,19.262642,49.277958,10.702809,-0.281702,-0.602862,0.191654,72.694340,-19.910661,-17.002885,-9.671333,-9.729393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,1.001961,1.863629,-0.109211,0.039275,18.401967,47.413918,12.234469,-0.383805,-0.689000,0.229050,75.101340,-23.339130,-17.454115,-10.394011,-9.902062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32.000000,1.001798,2.011749,-0.138293,0.040486,17.690861,46.105313,14.392226,-0.523666,-0.770246,0.354228,78.148217,-28.907277,-17.628917,-11.139926,-6.083125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.000000,1.001653,2.187218,-0.173754,0.041975,16.974338,43.874839,16.292563,-0.627775,-0.836776,0.482645,81.686911,-35.242911,3.436067,-9.880527,-23.995124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36.000000,1.001122,2.192838,-0.226111,0.039669,16.193620,60.154268,12.543277,-0.707326,-0.752792,0.612977,80.748526,-72.374498,25.339709,-7.169512,-61.367669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38.000000,1.001277,2.589863,-0.213437,0.042839,18.411408,64.996264,10.484920,-0.824353,-0.804636,0.637409,103.096199,-86.588806,22.342864,-6.035446,-52.410495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.000000,1.001394,2.732496,-0.197176,0.043616,18.032796,56.266409,8.852597,-0.814712,-0.781122,0.560568,102.019979,-58.584734,12.363601,-3.223950,-17.747742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
