0,0,0,0,180000,1800.000000,-0.080000,-0.080000,-0.080000
0.203836,0.192181,0.180393,0.164630,0.153741,0.147382,0.139712,0.132861,0.129707,0.121610,0.117052,0.113762,0.108676,0.102827,0.097468,0.093613,0.090830,0.086567,0.081837,0.078775,0.076163,0.073061,0.069404,0.066323,0.063098,0.060804,0.059576,0.056512,0.054716,0.053324,0.053228,0.051630,0.049417,0.047855,0.048475,0.049625,0.051206,0.051821,0.052429,0.055189,0.058688,0.060767,0.062645,0.066300,0.069962,0.072168,0.075019,0.078807,0.082940,0.088183,0.092339,0.098519,0.105562,0.114224,0.122126,0.131243,0.140645,0.149271,0.157186,0.164605,0.162444,0.157942,0.155343,0.206705,0.228223,0.237190,0.232766,0.215701,0.207242,0.209748,0.217836,0.220345,0.229140,0.253477,0.269804,0.285535,0.310512,0.333956,0.347069,0.347316,0.354337,0.339133,0.337358,0.330431,0.341333,0.356016,0.390492,0.405749,0.434982,0.487936,0.520190,0.537565,0.523502,0.531846,0.503964,0.497235,0.743802,0.793553,0.786591,0.714196,0.612083,0.523764,0.489397,0.474638,0.502581,0.539273,0.559027,0.606911,0.683432,0.720632,0.754562,0.759424,0.675491,0.682118,0.749805,0.748311,0.715442,0.690278,0.718519,0.770512,0.819645,0.975367,1.063990,1.152518,1.192062,1.196002,1.085587,1.062873,1.609084,1.775835,1.730465,1.493800,1.222411,1.061133,0.959129,0.880209,0.874889,0.927103,0.951479,1.053528,1.269734,1.530032,1.802442,1.783463,1.292857,1.302987,1.363989,1.227512,1.020522,0.873777,0.830506,0.909790,0.996538,1.111896,1.237869,1.340628,1.450223,1.503314,1.422134,1.449376,2.097067,2.146899,1.756395,1.421099,1.193675,1.043895,0.985163,0.938698,0.914562,1.022067,1.190775,1.403537,1.713360,2.046824,2.195191,1.991983,1.355331,1.359309,1.509709,1.452010,1.370717,1.287962,1.211644,1.039795,0.931088,0.905136,0.936959,0.988276,1.003958,1.057797,1.046710,0.994704,1.236281,1.209208,1.079415,0.952775,0.837008,0.752136,0.688045,0.625424,0.576822,0.646916,0.741261,0.854896,0.943053,1.028317,1.074355,0.992851,0.695996,0.734406,0.789883,0.791353,0.771841,0.722471,0.690641,0.631770,0.581468,0.541444,0.532678,0.514394,0.519079,0.531374,0.520978,0.548209,0.524074,0.526539,0.519735,0.500269,0.481039,0.458869,0.427752,0.386627,0.349753,0.313271,0.295988,0.279678,0.261682,0.262172,0.266690,0.261329,0.206585,0.190351,0.215160,0.237034,0.240729,0.252372,0.259797,0.271959,0.277347,0.273019,0.272566,0.264368,0.251725,0.239115,0.233231,0.219719,
1.059079,1.002820,0.936211,0.862618,0.813399,0.778495,0.738240,0.705678,0.685272,0.649781,0.626531,0.606323,0.574399,0.545554,0.515691,0.494048,0.480397,0.461325,0.437082,0.422138,0.411216,0.394978,0.373785,0.357482,0.342314,0.330630,0.322501,0.310646,0.300511,0.293604,0.294608,0.288830,0.273698,0.265396,0.270425,0.279469,0.287383,0.294543,0.300204,0.315141,0.337443,0.350694,0.358497,0.377004,0.393908,0.404659,0.415659,0.432229,0.449598,0.470286,0.494110,0.529911,0.564585,0.591822,0.631621,0.680986,0.733350,0.790872,0.831557,0.861285,0.851972,0.825810,0.813491,1.040015,1.286375,1.384971,1.361648,1.257591,1.210396,1.201773,1.236330,1.242922,1.299490,1.424092,1.512886,1.599651,1.707997,1.847660,1.952834,1.909537,2.103703,1.910438,1.870085,1.809984,1.773171,1.805038,1.938811,2.051074,2.217531,2.506251,2.740647,2.847190,2.821983,2.885465,2.719298,2.760507,4.089107,4.419609,4.343909,3.885646,3.369782,2.964571,2.864027,2.813659,2.943256,3.112784,3.239001,3.520400,3.805813,4.054189,4.253495,4.172349,3.968824,3.922227,4.216500,4.161562,3.932177,3.643865,3.679767,3.888137,4.101345,4.766351,5.340098,5.917596,6.277455,6.403834,5.878992,5.753319,8.600875,9.546589,9.022578,7.651757,6.481244,5.806808,5.493489,5.318717,5.468955,5.748355,5.866880,6.312451,7.271021,8.675819,10.063659,9.932990,7.510396,7.557339,7.869503,7.057620,5.882012,4.863135,4.545472,4.967221,5.408081,5.980262,6.647288,7.260901,7.914919,8.282756,7.940929,8.043655,11.478541,11.603778,9.464875,7.840313,6.989646,6.432869,6.169192,5.971716,5.736495,6.029581,6.653135,7.572235,9.021627,10.782344,11.854861,10.881114,7.477485,7.554929,8.229489,7.866342,7.328913,6.794427,6.160040,5.334884,4.890959,4.855734,5.190154,5.581036,5.740065,6.026028,6.039956,5.796884,6.864586,6.664246,5.999896,5.344039,4.911094,4.504180,4.144838,3.795589,3.465841,3.666595,4.025346,4.554925,4.990221,5.521766,5.666880,5.065135,3.671054,3.754820,4.084311,4.104157,3.958582,3.636610,3.368052,3.072346,2.878989,2.743730,2.774187,2.742971,2.862070,3.035676,3.000884,3.242258,2.925249,3.010680,2.960370,2.879120,2.772459,2.635322,2.462587,2.203625,1.988253,1.802663,1.680540,1.565592,1.432094,1.414584,1.461934,1.398442,1.127210,1.022711,1.175352,1.311819,1.358683,1.414341,1.470479,1.517642,1.521807,1.473551,1.436761,1.375887,1.301421,1.235386,1.200074,1.127249,
1.586364,1.497147,1.396885,1.321213,1.261478,1.196806,1.132162,1.075888,1.030583,0.985097,0.945048,0.907238,0.857697,0.814555,0.773809,0.740479,0.713381,0.683095,0.653768,0.632359,0.616586,0.597961,0.573074,0.544674,0.522317,0.508154,0.491338,0.475658,0.462537,0.457780,0.456650,0.444104,0.424854,0.414986,0.422331,0.436806,0.448243,0.467395,0.480450,0.501293,0.531954,0.556466,0.572686,0.594427,0.612502,0.633419,0.650861,0.669623,0.689503,0.722614,0.753060,0.800588,0.854443,0.874954,0.918429,0.992586,1.087922,1.160109,1.220535,1.274627,1.273887,1.224035,1.251026,1.550759,2.185531,2.414343,2.381523,2.230980,2.157347,2.088512,2.115996,2.146760,2.265043,2.433939,2.585622,2.742006,2.867824,3.117626,3.279787,3.124896,3.626605,3.086493,2.948828,2.757026,2.550999,2.486353,2.604109,2.870810,3.188877,3.590527,3.972904,4.294269,4.473666,4.538707,4.301859,4.468752,6.585843,7.141761,6.908023,6.133760,5.476063,5.045518,5.005060,5.019493,5.202998,5.323748,5.585248,6.035283,6.309560,6.784331,7.060154,6.776864,6.891145,6.630158,6.789490,6.617866,6.114796,5.343660,5.076969,5.224593,5.458375,6.216161,7.201841,8.469984,9.373240,9.668271,9.158711,8.922815,12.883571,14.079289,12.819337,10.819544,9.830804,9.225315,9.200592,9.368842,9.844493,10.149287,10.343070,10.794582,11.743508,13.651378,15.614460,15.463353,12.519038,12.776895,13.078449,11.829443,9.828423,7.921443,7.136669,7.556661,7.889147,8.659316,9.895537,11.200908,12.425864,13.072125,12.654484,12.445712,16.951534,17.076189,14.137577,12.100201,11.624098,11.403660,11.250757,11.132615,10.457590,10.170394,10.541297,11.467016,13.031717,15.504319,17.494989,16.462801,11.669946,12.015091,12.526543,11.935366,10.798827,9.467443,8.119784,7.189323,6.958001,7.200111,8.112022,9.011220,9.486334,9.942788,10.176984,9.841961,10.694220,10.231562,9.328495,8.530187,8.225618,7.781603,7.380642,6.942690,6.445501,6.420382,6.660774,7.116650,7.599241,8.425015,8.534664,7.394735,5.465088,5.481060,5.872239,5.960822,5.638542,4.991699,4.464012,4.186152,4.053285,3.938225,3.950848,4.091472,4.550925,5.000346,4.961015,5.453158,4.788459,5.015300,5.006439,4.897857,4.764282,4.492406,4.206794,3.759678,3.427680,3.152443,2.880033,2.652027,2.399607,2.340046,2.413428,2.258763,1.800413,1.647928,1.868333,2.100251,2.253199,2.362995,2.422318,2.451948,2.446048,2.307668,2.167673,2.045703,1.927234,1.814271,1.742672,1.654069,
1.938019,1.827969,1.716168,1.653066,1.589437,1.506071,1.413016,1.331168,1.261898,1.209257,1.157400,1.103513,1.054517,0.993411,0.944297,0.909288,0.867167,0.820685,0.789182,0.764619,0.745376,0.730052,0.711879,0.676992,0.646054,0.627483,0.609257,0.586109,0.569851,0.567186,0.562626,0.536168,0.520659,0.516398,0.517741,0.530276,0.545140,0.568308,0.587713,0.610961,0.635565,0.664605,0.693074,0.712654,0.730924,0.764095,0.787483,0.799454,0.820042,0.863367,0.897916,0.936577,0.998746,1.019652,1.053570,1.145321,1.246081,1.321406,1.428049,1.519277,1.543838,1.485038,1.564405,1.927789,2.922458,3.243560,3.223982,3.044324,2.906432,2.801210,2.814570,2.817952,2.933396,3.180810,3.401726,3.581643,3.783209,4.107339,4.307671,4.019708,4.709918,3.932558,3.723090,3.389822,3.009394,2.859232,2.927252,3.190708,3.606216,4.089675,4.574743,5.157710,5.610420,5.707216,5.479437,5.595933,8.115107,8.809941,8.403209,7.518463,6.945112,6.702777,6.691274,6.735919,6.951482,7.089981,7.335324,7.773689,8.230022,8.811169,8.983111,8.700927,9.357255,8.905546,8.821387,8.490545,7.711952,6.686507,5.956453,5.752600,5.802860,6.584676,7.870920,9.680310,11.203859,11.687253,11.419590,10.946094,15.139202,16.293246,14.273267,12.189206,11.674635,11.671084,12.040140,12.364939,12.854837,13.173395,13.366952,13.647175,14.172834,16.057862,18.326601,18.287855,15.933849,16.964980,17.102543,15.437031,12.735622,10.384945,8.986333,8.911704,8.843256,9.789776,11.483751,13.311168,15.150569,16.183342,15.820682,14.934684,18.995943,19.416556,16.274677,14.403713,14.478378,14.964177,15.398529,15.416047,14.193532,13.214358,13.086288,13.478415,14.620711,17.313148,20.024736,19.155146,14.132639,14.936425,15.069840,14.074845,12.181690,9.957236,8.228085,7.610863,7.929916,8.749190,9.963118,11.422753,12.477602,13.066051,13.469201,12.940309,12.843118,12.240374,11.202082,10.416529,10.203071,10.056038,10.037994,9.643137,9.063222,8.859843,8.713550,8.646536,8.932780,9.701053,10.095890,8.747528,6.514062,6.581806,6.841077,6.898442,6.303369,5.442680,4.844631,4.629623,4.631083,4.658145,4.595504,4.955530,5.914710,6.563956,6.446159,6.931801,6.150552,6.547054,6.687118,6.467077,6.216207,5.929381,5.483168,4.848361,4.439271,4.127858,3.766453,3.438283,3.174816,3.115205,3.165179,2.926578,2.266763,2.146595,2.399278,2.704631,2.939550,3.110361,3.139183,3.094655,3.066906,2.863290,2.661466,2.465291,2.290728,2.157559,2.068046,1.995591,
2.209343,2.103177,1.994817,1.912748,1.844803,1.757169,1.649533,1.553294,1.469240,1.405506,1.346731,1.274384,1.222961,1.158352,1.092964,1.046443,0.999624,0.945488,0.900717,0.877489,0.864372,0.850408,0.827074,0.795607,0.761287,0.732518,0.711175,0.687013,0.662349,0.649622,0.640528,0.609205,0.586888,0.586508,0.591055,0.596055,0.603131,0.626401,0.659086,0.681549,0.699376,0.735803,0.772655,0.789838,0.819194,0.858329,0.878207,0.890721,0.909271,0.944577,0.987019,1.026910,1.064075,1.078398,1.130490,1.224958,1.310502,1.420411,1.578379,1.692182,1.787834,1.780075,1.859271,2.204194,3.532448,4.009656,3.973378,3.747572,3.561634,3.450528,3.467890,3.415232,3.523989,3.785341,4.041046,4.246594,4.463869,4.822971,5.149126,4.732739,5.615543,4.642758,4.474003,4.089782,3.534335,3.304840,3.270459,3.359846,3.704013,4.269921,4.907406,5.620989,6.320842,6.620570,6.416316,6.385639,8.932368,9.860602,9.388721,8.630671,8.299393,8.243444,8.340188,8.412186,8.626292,8.818385,8.917941,9.288622,9.721926,10.263491,10.590344,10.341299,11.671979,11.006260,10.847025,10.335377,9.329142,8.098157,7.018958,6.380869,6.127696,6.781418,8.179996,10.284445,12.387541,13.316014,13.290341,12.663055,16.571596,17.696629,15.091900,13.206783,13.281202,14.035087,14.761139,14.901094,15.189518,15.541273,15.694778,15.853777,16.004872,17.514430,20.015761,19.888167,18.541565,20.310497,20.190130,17.976470,14.836274,12.496947,10.733599,9.829375,9.617105,10.581004,12.275480,14.296431,16.711520,18.285325,18.297996,17.016565,20.310936,20.638124,17.160349,15.958653,16.807944,18.080206,19.131033,19.159624,17.554787,16.115879,15.345851,15.070385,15.404697,18.049427,21.454805,20.369782,16.107685,17.168815,16.966334,15.318867,12.608629,9.852474,8.268398,8.123013,8.937644,10.289275,11.502431,13.196682,14.934916,15.847212,16.291259,15.607285,14.335138,13.879138,12.734445,11.884445,11.789241,11.939188,12.479589,12.328598,11.659314,11.193843,10.572068,9.977898,9.820438,10.260045,10.944326,9.480610,7.377941,7.351481,7.588814,7.449102,6.529826,5.592917,5.046597,4.807076,4.885036,5.154801,5.266358,5.737600,7.132797,8.028501,7.773393,8.058693,7.379159,8.021244,8.181364,7.876701,7.456683,7.081119,6.435977,5.726968,5.252251,4.899715,4.518439,4.194348,3.928469,3.862903,3.890704,3.517344,2.717269,2.589751,2.884259,3.272252,3.457300,3.639606,3.720314,3.561016,3.429007,3.227437,3.026181,2.764952,2.540537,2.410538,2.319425,2.258208,
2.427666,2.346362,2.247201,2.137310,2.055972,1.963101,1.863004,1.763582,1.680387,1.594716,1.518752,1.441785,1.372655,1.313647,1.242198,1.172517,1.112237,1.061807,1.017178,0.996104,0.978614,0.967345,0.944088,0.913258,0.876214,0.842352,0.810106,0.782654,0.752914,0.726806,0.701277,0.671846,0.642897,0.637945,0.648383,0.646614,0.640624,0.661859,0.702957,0.725575,0.745358,0.786919,0.825337,0.851194,0.894992,0.933678,0.947622,0.962034,0.980130,1.006780,1.048765,1.089057,1.097468,1.116940,1.176369,1.262781,1.367391,1.491200,1.651256,1.806089,1.997280,2.063671,2.128014,2.417172,4.033691,4.691446,4.612528,4.410189,4.202118,4.041437,4.030213,4.013402,4.155911,4.309357,4.537908,4.788541,4.906784,5.211734,5.683171,5.289902,6.386731,5.299676,5.202007,4.836694,4.216512,3.760526,3.596708,3.628414,3.806672,4.235572,4.966730,5.894526,6.806934,7.297317,7.200260,7.013503,9.678322,10.819977,10.292002,9.749348,9.669181,9.595150,9.840503,10.138364,10.329839,10.346376,10.327306,10.678887,10.746971,11.167211,12.097141,11.712609,13.659685,12.841588,12.610294,11.970729,10.809488,9.153531,7.893751,7.235092,6.726730,7.054789,8.325339,10.743567,13.161937,14.482930,14.803102,13.960045,17.260838,18.467651,15.686451,14.327048,15.067505,16.269579,17.181579,17.221237,17.369617,17.532459,17.608672,17.855579,17.747359,18.688045,21.382267,21.001924,20.518502,22.394011,21.772387,19.390569,16.267397,13.905117,12.150357,10.882624,10.681688,11.134158,12.451578,14.887007,17.647277,19.503924,20.078776,18.642106,21.196337,21.346711,17.523597,17.225540,19.106767,20.817815,22.201316,22.323189,20.521324,18.597878,17.405768,16.801283,16.292243,18.430992,22.229342,20.676870,17.700130,18.901791,18.124822,15.890204,12.703881,9.776989,8.534248,8.809932,10.120704,11.553953,12.613001,14.462451,16.606078,17.919852,18.559301,17.712836,15.419911,15.400107,13.937845,13.197657,13.418113,13.634720,14.466361,14.833085,14.123683,13.230256,12.337964,11.556643,10.786941,10.767917,11.537630,9.919646,8.024243,7.958527,8.051149,7.687571,6.677735,5.656340,5.101184,4.947370,5.097916,5.429292,5.661334,6.245370,7.934243,9.150080,8.926207,9.024031,8.506110,9.344126,9.327687,8.946591,8.530479,7.877926,7.117334,6.472804,5.983472,5.583606,5.227949,4.966506,4.647924,4.571418,4.589921,4.042761,3.124971,2.991341,3.281863,3.654160,3.828954,3.961405,4.036153,3.814208,3.642775,3.466860,3.230216,2.942763,2.759487,2.638642,2.526474,2.462046,
2.633696,2.580898,2.495051,2.371259,2.277981,2.171078,2.076797,1.965261,1.880708,1.781832,1.683014,1.611754,1.531041,1.454967,1.379987,1.301945,1.225962,1.168535,1.136182,1.118502,1.095821,1.080898,1.062969,1.031382,0.986283,0.945788,0.908237,0.873941,0.837681,0.801793,0.759206,0.722960,0.696272,0.685625,0.684317,0.679445,0.680070,0.696173,0.730805,0.764947,0.791022,0.820731,0.858488,0.905860,0.950170,0.988499,1.013782,1.019428,1.022814,1.059427,1.098531,1.117266,1.118440,1.148180,1.193068,1.268675,1.392097,1.517447,1.670508,1.869455,2.131834,2.261269,2.352530,2.607988,4.419492,5.204179,5.238047,5.069310,4.831144,4.631656,4.635340,4.657233,4.776384,4.869036,5.030956,5.205248,5.235611,5.405962,5.853544,5.607740,7.076059,6.013383,5.934669,5.500803,4.961652,4.312437,3.959289,3.980777,4.008773,4.283921,4.984922,6.085677,7.195723,7.871861,7.942438,7.608437,10.653522,11.925389,11.314899,10.830155,10.861860,10.848559,11.387982,11.912157,12.044897,11.888659,11.717528,11.891940,11.600819,11.889894,13.217714,12.805946,15.190681,14.411789,13.998853,13.189946,11.839304,9.851086,8.531322,8.030382,7.483724,7.593353,8.653099,10.965786,13.432167,15.195821,15.995131,14.879122,17.730382,19.140407,16.547337,15.735962,16.968581,18.471409,19.663644,19.738193,19.713158,19.700873,19.581888,19.712941,19.254459,19.932206,22.564250,21.997750,21.931619,23.658278,22.506852,19.880185,16.911482,14.598588,13.083380,12.033453,11.750033,11.691511,12.652122,15.020807,17.741879,20.051472,21.312919,19.734766,21.437350,21.851060,18.369266,18.703440,21.277096,23.242050,25.027057,25.161174,23.348296,21.102098,19.511775,18.670439,17.620993,19.067982,22.698986,20.778788,18.898086,20.192290,18.543691,15.714661,12.650434,10.061332,9.023042,9.603144,11.055054,12.360426,13.405812,15.179484,17.425215,19.112535,20.100290,19.203890,16.263061,16.501901,14.942530,14.335881,15.046674,15.523552,16.491714,17.115418,16.463024,15.295043,14.078400,13.184015,11.952565,11.508558,12.097267,10.427975,8.514289,8.698105,8.476740,7.773187,6.777642,5.761633,5.149184,5.095409,5.369221,5.567906,5.846970,6.679263,8.261770,9.780581,9.887269,9.919436,9.325078,10.196804,10.068181,9.618904,9.273244,8.562201,7.777332,7.166347,6.699311,6.328850,5.971045,5.657829,5.295479,5.222119,5.205902,4.505335,3.460395,3.405318,3.631049,3.851376,4.107669,4.190844,4.120248,3.890512,3.782441,3.586773,3.332931,3.056644,2.933972,2.828714,2.727250,2.659787,
2.850178,2.818361,2.740246,2.614186,2.511539,2.395623,2.290992,2.177321,2.075699,1.972612,1.847626,1.761845,1.682900,1.587101,1.497569,1.414455,1.349824,1.279535,1.230424,1.215364,1.211126,1.190585,1.167888,1.142041,1.096336,1.047298,1.004500,0.965248,0.918007,0.868789,0.820119,0.776218,0.746622,0.726343,0.717113,0.712521,0.719413,0.732859,0.761477,0.799928,0.830396,0.860028,0.897253,0.950084,0.989949,1.028176,1.064029,1.069020,1.060708,1.097034,1.131710,1.133620,1.134102,1.158868,1.197708,1.273037,1.379960,1.510095,1.679630,1.886576,2.185963,2.400395,2.568661,2.749990,4.619947,5.527289,5.788859,5.670516,5.435443,5.279124,5.321360,5.289308,5.339515,5.447313,5.539743,5.621946,5.600253,5.633262,5.968258,5.752202,7.631672,6.663963,6.622118,6.044207,5.445631,4.875266,4.440803,4.308977,4.282494,4.533949,5.153471,6.168289,7.400599,8.390611,8.687599,8.247655,11.555095,12.959128,12.352365,11.798393,11.870095,12.198206,13.164312,13.590476,13.660120,13.601528,13.216837,13.019618,12.480823,12.631371,13.837978,13.445633,16.222829,15.528344,14.993040,13.760423,11.915601,10.219444,9.160842,8.555422,8.185164,8.408573,9.144912,10.835935,13.255249,15.552016,16.885439,15.726139,18.125118,19.992045,17.858791,17.456522,18.909208,20.791304,22.353046,22.094161,21.879325,22.102121,21.712215,21.400886,20.816605,21.392815,23.721445,22.703127,22.940608,24.335086,22.755349,19.821383,16.804573,14.879055,13.766244,12.850094,12.547130,12.477423,12.913081,14.550321,17.089647,19.888457,21.988015,20.570074,21.190040,22.313559,19.779749,20.374322,23.032408,25.310634,27.473995,27.253621,25.553555,23.612519,21.544582,20.423828,19.239857,20.233227,23.121346,20.549988,19.860497,20.837739,18.286085,15.075809,12.377657,10.605672,9.921623,10.365652,11.519973,12.846548,13.783179,15.113021,17.352128,19.532412,20.899778,20.100207,16.824601,17.275398,15.992315,15.533607,16.567909,17.428734,18.617100,19.073680,18.395831,17.426645,15.908589,14.763540,13.355047,12.635460,12.781139,10.872980,9.070626,9.382720,8.840464,7.827514,6.675999,5.831989,5.371174,5.250686,5.520221,5.735079,6.101898,6.923658,8.307347,10.099937,10.680095,10.704788,9.700018,10.720396,10.600806,10.092157,9.751998,9.092738,8.424603,7.851665,7.384736,7.096597,6.717999,6.318317,5.946955,5.826478,5.738738,4.885966,3.803933,3.725278,3.920724,4.066899,4.213413,4.249318,4.151859,3.947252,3.787214,3.545555,3.386855,3.190741,3.077796,2.964779,2.911154,2.870679,
3.063258,3.038752,2.954997,2.845371,2.733161,2.620959,2.494618,2.395541,2.265816,2.145591,2.016181,1.894068,1.792410,1.708881,1.615952,1.514591,1.449826,1.382677,1.320128,1.299199,1.300408,1.287222,1.268485,1.244868,1.198067,1.142842,1.090468,1.050020,0.992052,0.924447,0.874790,0.835274,0.796572,0.760417,0.751024,0.750621,0.754730,0.770853,0.799391,0.822960,0.860107,0.908795,0.947296,0.987861,1.026744,1.062736,1.089271,1.101429,1.109799,1.122449,1.140812,1.159858,1.156691,1.163151,1.200715,1.281197,1.374435,1.498494,1.673254,1.902178,2.233300,2.527938,2.780490,2.880894,4.754216,5.784594,6.191423,6.231399,6.136765,6.032557,6.071965,5.999554,6.051530,6.115452,6.139271,6.267782,6.148051,5.970242,6.167557,5.905800,8.138050,7.122128,7.129187,6.613704,5.743094,5.182228,4.879695,4.650312,4.626456,4.827222,5.297699,6.212193,7.406325,8.658189,9.318723,8.861527,12.325217,13.884440,13.318222,12.810990,13.086320,13.831319,15.067386,15.457808,15.619740,15.531541,14.921569,14.417996,13.541085,13.375600,14.287341,13.763616,16.975558,16.114450,15.205985,13.704695,11.463364,10.182756,9.616557,8.995299,8.811040,9.117455,9.416060,10.628712,12.890627,15.390666,17.366853,16.504505,18.763456,21.120707,19.401991,19.404959,21.258035,23.352310,25.132559,24.859578,24.680125,24.801059,24.107057,23.489419,22.690554,23.144510,25.015326,23.181680,23.666633,24.201043,22.092157,19.264485,16.367280,14.800452,14.152845,13.314021,13.139451,13.145780,12.939577,14.109504,16.372002,19.004189,21.983281,21.308871,21.224608,23.164490,21.414042,22.310139,25.121645,27.522989,29.744661,29.536901,28.055423,26.312154,23.922632,22.625976,21.287214,21.770509,23.731488,20.481737,20.513884,20.823599,17.526250,14.513524,12.243176,10.973841,10.839952,11.007288,11.820472,12.930230,13.492899,14.544832,16.692293,18.938071,20.758692,20.535021,17.060958,17.940957,17.006159,17.015548,18.341668,19.365770,20.871656,21.315067,20.581002,19.660313,18.138741,16.731540,15.032087,14.025656,13.760436,11.493076,9.704580,9.893080,9.010247,7.896748,6.575264,5.821468,5.648669,5.503282,5.648597,5.952077,6.309120,6.990101,8.416375,10.110238,11.096855,11.445330,9.942520,11.118542,11.089433,10.532146,10.130050,9.503221,9.030504,8.590983,8.157706,7.936088,7.537434,7.132434,6.636608,6.343686,6.242228,5.283428,4.206495,3.961590,4.148974,4.299436,4.180073,4.128598,4.089796,3.933539,3.698928,3.500573,3.376320,3.274380,3.204277,3.135727,3.080723,3.073061,
3.235802,3.191706,3.107023,3.038939,2.923730,2.824739,2.681976,2.573617,2.433887,2.297602,2.165998,2.036302,1.896302,1.807155,1.723074,1.621439,1.528582,1.462323,1.415260,1.399897,1.387935,1.380325,1.368004,1.338396,1.289120,1.233950,1.168637,1.120092,1.056718,0.982343,0.923230,0.884944,0.844278,0.798395,0.778210,0.777576,0.789856,0.810375,0.834939,0.855378,0.896063,0.952141,0.996431,1.033754,1.062651,1.094909,1.115200,1.129800,1.143601,1.143236,1.146762,1.178755,1.178262,1.173974,1.207042,1.277759,1.385492,1.512132,1.671241,1.940666,2.305537,2.632875,2.977906,3.093397,4.993226,6.123577,6.543486,6.774554,6.929799,6.876584,6.921264,6.896671,6.930470,6.932600,6.985915,7.158379,6.898323,6.534071,6.551287,6.166518,8.455575,7.639139,7.299963,6.845677,6.061882,5.406081,5.123478,4.962836,4.930482,5.119200,5.442323,6.239828,7.200799,8.629724,9.822657,9.346231,12.977920,14.815650,14.250875,13.926272,14.803151,15.805193,17.053952,17.710584,17.904666,17.604582,17.015125,16.314873,14.947717,14.357717,14.942723,14.068894,17.328142,16.475500,14.667765,12.978194,11.186635,10.103661,9.768918,9.453136,9.419105,9.595655,9.695354,10.633060,12.241085,14.765815,17.567439,17.033843,19.797061,22.483722,21.061756,21.626764,24.201142,26.167007,27.922376,28.475185,28.501060,27.882246,26.948505,26.269570,24.935824,25.176552,26.723393,23.928917,23.991307,23.722731,20.583848,17.966700,15.992322,14.595745,14.197238,13.735523,13.690599,13.492644,13.084932,14.074972,15.466147,17.749136,21.674600,21.763277,21.899762,24.559883,23.408811,24.706371,27.995419,30.107969,32.072251,32.681801,31.535571,29.270230,26.909435,25.682005,23.790344,23.624462,24.820833,21.019081,20.681106,20.398625,16.462003,13.789036,12.340173,11.394814,11.494590,11.654122,12.160824,12.712732,13.025859,13.967389,15.460179,17.521952,20.192646,20.511789,17.326431,18.803596,18.190594,18.784582,20.642808,21.815739,23.414523,24.249507,23.514978,22.202098,20.817196,19.339311,17.133891,15.682814,15.067567,12.542481,10.222969,10.507238,9.049861,7.673511,6.612053,5.959864,5.903105,5.842879,5.945999,6.243947,6.500400,7.201664,8.467983,9.758750,11.242718,12.041928,10.212150,11.342741,11.368767,10.887722,10.525662,10.027572,9.701546,9.503947,9.228421,9.008777,8.591666,8.140314,7.455641,6.964154,6.797400,5.773448,4.476396,4.274778,4.298521,4.279699,4.122600,4.048067,3.896970,3.746951,3.612245,3.512797,3.356897,3.302713,3.293469,3.284136,3.250086,3.263567,
